รายการบัญชี - Seller Balance,,,สรุป,,,,,ยอดคงเหลือ,
หน่วยเงิน:,THB,,เงินเข้า,,เงินออก,,,ยอดตั้งต้น,89163.0
วันที่:,2023-02-27-2023-03-29,,จำนวนการทำรายการ:,311,จำนวนการทำรายการ:,5,,ยอดคงเหลือสุทธิ,17170.0
,,,ยอดรวม:,701405.0,ยอดรวม:,773398.0


วันที่,ผู้นำจ่าย,จำนวนเงิน,รายการ,สถานะ,ยอดคงเหลือ
2023-03-18 05:42,Seller Balance,3595.0,เงินโอนจากคำสั่งซื้อ #230307S6KUED5G,,109538.0
2023-03-18 04:23,Seller Balance,1569.0,เงินโอนจากคำสั่งซื้อ #230306Q3E8UT9C,,105943.0
2023-03-18 02:06,Seller Balance,601.0,เงินโอนจากคำสั่งซื้อ #230306QHH6UN5Y,,104374.0
2023-03-18 01:47,Seller Balance,472.0,เงินโอนจากคำสั่งซื้อ #230305N6J61Y0V,,103773.0
2023-03-18 01:38,Seller Balance,501.0,เงินโอนจากคำสั่งซื้อ #230305MB1NNP1C,,103301.0
2023-03-17 23:04,Seller Balance,2159.0,เงินโอนจากคำสั่งซื้อ #230315H3KPSA3E,,102800.0
2023-03-17 23:04,Seller Balance,11619.0,เงินโอนจากคำสั่งซื้อ #230315GBYSTUMG,,100641.0
2023-03-17 22:43,Seller Balance,11452.0,เงินโอนจากคำสั่งซื้อ #230316K1Q7AM4E,,89022.0
2023-03-17 22:39,Seller Balance,2159.0,เงินโอนจากคำสั่งซื้อ #230315GFMM74WB,,77570.0
2023-03-17 22:38,Seller Balance,591.0,เงินโอนจากคำสั่งซื้อ #230315H49TEF6Y,,75411.0
2023-03-17 22:34,Seller Balance,11204.0,เงินโอนจากคำสั่งซื้อ #230315H79QCJGG,,74820.0
2023-03-17 22:33,Seller Balance,1388.0,เงินโอนจากคำสั่งซื้อ #230315GEY6GVVC,,63616.0
2023-03-17 21:49,Seller Balance,472.0,เงินโอนจากคำสั่งซื้อ #2303129JCTA59P,,62228.0
2023-03-17 20:03,Seller Balance,2778.0,เงินโอนจากคำสั่งซื้อ #2303091W0CBMHS,,61756.0
2023-03-17 15:19,Seller Balance,1385.0,เงินโอนจากคำสั่งซื้อ #230308UK0318SX,,58978.0
2023-03-17 13:49,Seller Balance,1541.0,เงินโอนจากคำสั่งซื้อ #230314E1TD30V4,,57593.0
2023-03-17 13:36,Seller Balance,1012.0,เงินโอนจากคำสั่งซื้อ #230308UY5QDNSJ,,56052.0
2023-03-17 12:24,Seller Balance,528.0,เงินโอนจากคำสั่งซื้อ #230314E0RNH8UM,,55040.0
2023-03-17 11:09,Seller Balance,591.0,เงินโอนจากคำสั่งซื้อ #2303091FPJ9XBJ,,54512.0
2023-03-17 05:07,Seller Balance,4947.0,เงินโอนจากคำสั่งซื้อ #230306Q2BRG7TV,,53921.0
2023-03-17 04:45,Seller Balance,3586.0,เงินโอนจากคำสั่งซื้อ #230305KSDAX0Y5,,48974.0
2023-03-17 04:39,Seller Balance,501.0,เงินโอนจากคำสั่งซื้อ #230307SA54CG40,,45388.0
2023-03-17 04:38,Seller Balance,515.0,เงินโอนจากคำสั่งซื้อ #230307SA7Q9XS7,,44887.0
2023-03-17 04:38,Seller Balance,501.0,เงินโอนจากคำสั่งซื้อ #230307SA8QSHVH,,44372.0
2023-03-17 03:09,Seller Balance,594.0,เงินโอนจากคำสั่งซื้อ #230304GB3MKQ65,,43871.0
2023-03-17 01:53,Seller Balance,752.0,เงินโอนจากคำสั่งซื้อ #230307S7TJ973D,,43277.0
2023-03-17 01:38,Seller Balance,2218.0,เงินโอนจากคำสั่งซื้อ #230303DTXJT63E,,42525.0
2023-03-17 01:03,Seller Balance,472.0,เงินโอนจากคำสั่งซื้อ #230307SKMHPQ5S,,40307.0
2023-03-17 01:03,Seller Balance,3784.0,เงินโอนจากคำสั่งซื้อ #230306QMYS07HS,,39835.0
2023-03-16 22:36,Seller Balance,604.0,เงินโอนจากคำสั่งซื้อ #230315G5XUQGGD,,36051.0
2023-03-16 21:49,Seller Balance,915.0,เงินโอนจากคำสั่งซื้อ #2303127D4R31T7,,35447.0
2023-03-16 19:32,Seller Balance,6077.0,เงินโอนจากคำสั่งซื้อ #230314DN4E4C7F,,34532.0
2023-03-16 18:54,Seller Balance,780.0,เงินโอนจากคำสั่งซื้อ #230314DFR6VQ3J,,28455.0
2023-03-16 18:18,Seller Balance,3117.0,เงินโอนจากคำสั่งซื้อ #2303115S6VB1A8,,27675.0
2023-03-16 15:11,Seller Balance,514.0,เงินโอนจากคำสั่งซื้อ #230313B3VBTT41,,24558.0
2023-03-16 14:35,Seller Balance,386.0,เงินโอนจากคำสั่งซื้อ #230308UD3XFJNK,,24044.0
2023-03-16 14:07,Seller Balance,591.0,เงินโอนจากคำสั่งซื้อ #2303128KKMN56T,,23658.0
2023-03-16 12:41,Seller Balance,1395.0,เงินโอนจากคำสั่งซื้อ #230314DEE1DRY2,,23067.0
2023-03-16 00:19,Seller Balance,945.0,เงินโอนจากคำสั่งซื้อ #230307SBQNT88A,,21672.0
